Date,SUM
2020-07-20,7548.2315
2020-07-21,7555.225
2020-07-22,7586.032999999999
2020-07-23,7582.047
2020-07-24,7568.887499999999
2020-07-27,7603.6675000000005
2020-07-28,7605.1965
2020-07-29,7635.472000000001
2020-07-30,7649.999999999999
2020-07-31,7682.292
2020-08-03,7700.683
2020-08-04,7760.486000000001
2020-08-05,7747.876499999999
2020-08-06,7801.9220000000005
2020-08-07,7743.6795
2020-08-10,7726.667000000001
2020-08-11,7611.159500000001
2020-08-12,7630.5705
2020-08-13,7614.259499999999
2020-08-14,7598.592000000001
2020-08-17,7648.6224999999995
2020-08-18,7692.920499999999
2020-08-19,7638.9394999999995
2020-08-20,7694.405000000001
2020-08-21,7712.0464999999995
2020-08-24,7723.601500000001
